PRN,College,Branch,TotalNoGrace,TotalGrace,SumTotal,OFC_PP,OFC_PR,OFC_OR,OFC_TW,MC_PP,MC_PR,MC_OR,MC_TW,SC|TAVE|TAMS_PP,SC|TAVE|TAMS_PR,SC|TAVE|TAMS_OR,SC|TAVE|TAMS_TW,VDT_PP,VDT_PR,VDT_OR,VDT_TW,AI|N_PP,AI|N_PR,AI|N_OR,AI|N_TW,DIP|ESAR_PP,DIP|ESAR_PR,DIP|ESAR_OR,DIP|ESAR_TW,PI_PP,PI_PR,PI_OR,PI_TW,CN_PP,CN_PR,CN_OR,CN_TW,TSS_PP,TSS_PR,TSS_OR,TSS_TW,PP_PP,PP_PR,PP_OR,PP_TW,EPD_PP,EPD_PR,EPD_OR,EPD_TW
12345678Z,COLNAME,ET,949,0,949,56,38,0,22,52,0,0,0,50,34,0,21,40,43,0,0,60,0,0,0,40,40,0,23,0,0,46,94,56,0,34,0,59,0,37,0,0,0,0,34,47,0,0,23
12345678Z,COLNAME,ET,910,0,910,54,39,0,22,44,0,0,0,52,40,0,19,44,22,0,0,45,0,0,0,56,22,0,19,0,0,42,93,67,0,32,0,65,0,39,0,0,0,0,30,43,0,0,21
12345678Z,COLNAME,ET,1025,0,1025,63,35,0,21,57,0,0,0,58,41,0,23,47,35,0,0,74,0,0,0,50,32,0,21,0,0,44,96,73,0,36,0,66,0,33,0,0,0,0,39,60,0,0,21
12345678Z,COLNAME,ET,977,0,977,66,36,0,22,54,0,0,0,56,40,0,18,46,35,0,0,47,0,0,0,47,32,0,20,0,0,44,95,76,0,38,0,68,0,39,0,0,0,0,35,41,0,0,22
12345678Z,COLNAME,ET,978,0,978,55,36,0,22,64,0,0,0,63,30,0,20,45,32,0,0,42,0,0,0,55,35,0,22,0,0,44,93,73,0,36,0,74,0,36,0,0,0,0,32,49,0,0,20
12345678Z,COLNAME,ET,1043,0,1043,69,35,0,21,66,0,0,0,66,40,0,23,54,37,0,0,51,0,0,0,45,38,0,21,0,0,46,96,69,0,40,0,77,0,38,0,0,0,0,38,52,0,0,21
12345678Z,COLNAME,ET,972,0,972,61,39,0,22,40,0,0,0,59,38,0,22,52,27,0,0,62,0,0,0,44,40,0,20,0,0,47,96,56,0,38,0,57,0,37,0,0,0,0,41,53,0,0,21
12345678Z,COLNAME,ET,903,0,903,42,32,0,20,52,0,0,0,44,37,0,22,44,22,0,0,58,0,0,0,45,29,0,20,0,0,43,94,59,0,37,0,60,0,35,0,0,0,0,34,54,0,0,20
12345678Z,COLNAME,ET,986,0,986,52,34,0,21,50,0,0,0,66,41,0,23,43,37,0,0,45,0,0,0,49,38,0,23,0,0,47,95,52,0,35,0,67,0,40,0,0,0,0,42,65,0,0,21
12345678Z,COLNAME,ET,954,0,954,60,32,0,21,54,0,0,0,55,35,0,22,52,33,0,0,45,0,0,0,44,30,0,20,0,0,43,93,53,0,34,0,66,0,39,0,0,0,0,41,61,0,0,21
12345678Z,COLNAME,ET,963,0,963,57,35,0,21,40,0,0,0,49,43,0,23,41,38,0,0,61,0,0,0,55,38,0,22,0,0,44,95,59,0,36,0,49,0,41,0,0,0,0,37,58,0,0,21
12345678Z,COLNAME,ET,835,0,835,29,25,0,18,47,0,0,0,45,28,0,19,40,26,0,0,46,0,0,0,64,25,0,19,0,0,40,95,52,0,33,0,42,0,37,0,0,0,0,38,46,0,0,21
12345678Z,COLNAME,ET,803,0,803,45,30,0,19,46,0,0,0,46,39,0,20,28,24,0,0,40,0,0,0,40,35,0,17,0,0,45,95,27,0,34,0,40,0,36,0,0,0,0,37,40,0,0,20
12345678Z,COLNAME,ET,885,0,885,40,39,0,22,43,0,0,0,52,40,0,23,42,35,0,0,53,0,0,0,40,28,0,20,0,0,43,94,46,0,40,0,40,0,37,0,0,0,0,40,46,0,0,22
12345678Z,COLNAME,ET,794,0,794,23,21,0,18,40,0,0,0,50,36,0,22,42,21,0,0,40,0,0,0,43,22,0,18,0,0,39,93,40,0,38,0,46,0,40,0,0,0,0,34,47,0,0,21
