PRN,College,Branch,TotalNoGrace,TotalGrace,SumTotal,OFC_PP,OFC_PR,OFC_OR,OFC_TW,MC_PP,MC_PR,MC_OR,MC_TW,SC|TAVE|TAMS_PP,SC|TAVE|TAMS_PR,SC|TAVE|TAMS_OR,SC|TAVE|TAMS_TW,VDT_PP,VDT_PR,VDT_OR,VDT_TW,AI|N_PP,AI|N_PR,AI|N_OR,AI|N_TW,DIP|ESAR_PP,DIP|ESAR_PR,DIP|ESAR_OR,DIP|ESAR_TW,PI_PP,PI_PR,PI_OR,PI_TW,CN_PP,CN_PR,CN_OR,CN_TW,TSS_PP,TSS_PR,TSS_OR,TSS_TW,PP_PP,PP_PR,PP_OR,PP_TW,EPD_PP,EPD_PR,EPD_OR,EPD_TW
12345678Z,COLNAME,ET,878,0,878,50,37,0,22,42,0,0,0,52,24,0,17,45,28,0,0,61,0,0,0,40,38,0,23,0,0,43,93,43,0,37,0,40,0,37,0,0,0,0,45,40,0,0,21
12345678Z,COLNAME,ET,976,0,976,63,38,0,22,59,0,0,0,61,33,0,21,40,37,0,0,48,0,0,0,57,36,0,22,0,0,44,95,60,0,32,0,58,0,39,0,0,0,0,38,52,0,0,21
12345678Z,COLNAME,ET,845,0,845,51,26,0,20,40,0,0,0,58,40,0,15,40,30,0,0,43,0,0,0,40,20,0,16,0,0,46,96,44,0,36,0,45,0,38,0,0,0,0,41,41,0,0,19
12345678Z,COLNAME,ET,872,0,872,51,30,0,21,46,0,0,0,57,40,0,18,40,28,0,0,40,0,0,0,59,33,0,19,0,0,40,90,47,0,35,0,44,0,37,0,0,0,0,38,40,0,0,19
12345678Z,COLNAME,ET,1002,0,1002,64,40,0,22,49,0,0,0,61,38,0,23,40,36,0,0,60,0,0,0,45,40,0,23,0,0,42,95,60,0,40,0,57,0,42,0,0,0,0,40,62,0,0,23
12345678Z,COLNAME,ET,830,0,830,46,28,0,20,30,0,0,0,50,38,0,21,40,32,0,0,47,0,0,0,42,26,0,19,0,0,43,95,43,0,39,0,30,0,38,0,0,0,0,40,42,0,0,21
12345678Z,COLNAME,ET,946,0,946,63,38,0,22,48,0,0,0,59,32,0,20,40,30,0,0,55,0,0,0,62,38,0,21,0,0,45,92,48,0,36,0,44,0,39,0,0,0,0,39,55,0,0,20
12345678Z,COLNAME,ET,976,0,976,61,40,0,23,46,0,0,0,63,39,0,18,41,35,0,0,50,0,0,0,55,37,0,21,0,0,45,95,56,0,39,0,46,0,40,0,0,0,0,41,62,0,0,23
12345678Z,COLNAME,ET,932,0,932,59,39,0,22,52,0,0,0,54,30,0,19,45,35,0,0,55,0,0,0,44,20,0,20,0,0,47,96,57,0,36,0,47,0,38,0,0,0,0,40,55,0,0,22
12345678Z,COLNAME,ET,851,0,851,47,37,0,22,44,0,0,0,40,31,0,17,19,28,0,0,51,0,0,0,46,40,0,23,0,0,46,90,47,0,38,0,42,0,39,0,0,0,0,37,45,0,0,22
12345678Z,COLNAME,ET,937,0,937,57,38,0,22,46,0,0,0,51,40,0,19,40,42,0,0,58,0,0,0,61,25,0,20,0,0,46,96,40,0,39,0,45,0,39,0,0,0,0,43,48,0,0,22
12345678Z,COLNAME,ET,833,0,833,45,34,0,21,40,0,0,0,48,29,0,15,40,28,0,0,72,0,0,0,40,20,0,17,0,0,40,90,40,0,34,0,50,0,37,0,0,0,0,32,40,0,0,21
12345678Z,COLNAME,ET,404,0,404,nan,28,0,20,nan,0,0,0,nan,8,0,15,40,20,0,0,nan,0,0,0,30,32,0,13,0,0,nan,nan,40,0,30,0,nan,0,33,0,0,0,0,32,43,0,0,20
12345678Z,COLNAME,ET,1090,0,1090,57,42,0,23,77,0,0,0,70,41,0,23,51,43,0,0,63,0,0,0,64,37,0,21,0,0,45,95,62,0,42,0,67,0,41,0,0,0,0,44,59,0,0,23
12345678Z,COLNAME,ET,881,0,881,42,34,0,20,49,0,0,0,62,37,0,21,46,22,0,0,68,0,0,0,66,5,0,16,0,0,40,90,56,0,31,0,43,0,33,0,0,0,0,35,44,0,0,21
12345678Z,COLNAME,ET,823,2,825,40,35,0,21,40,0,0,0,45,24,0,18,46,22,0,0,40,0,0,0,41,34,0,20,0,0,45,96,41,0,33,0,43,0,36,0,0,0,0,37,45,0,0,21
12345678Z,COLNAME,ET,931,0,931,45,37,0,21,54,0,0,0,54,39,0,22,58,32,0,0,66,0,0,0,41,25,0,20,0,0,45,95,51,0,34,0,48,0,39,0,0,0,0,32,52,0,0,21
12345678Z,COLNAME,ET,950,0,950,50,39,0,22,40,0,0,0,53,42,0,19,50,36,0,0,64,0,0,0,40,38,0,21,0,0,44,93,53,0,42,0,46,0,40,0,0,0,0,44,53,0,0,21
12345678Z,COLNAME,ET,893,7,900,45,39,0,22,40,0,0,0,54,40,0,23,40,35,0,0,44,0,0,0,44,30,0,23,0,0,45,95,45,0,41,0,41,0,41,0,0,0,0,43,40,0,0,23
12345678Z,COLNAME,ET,1019,0,1019,65,37,0,21,63,0,0,0,70,32,0,22,43,32,0,0,71,0,0,0,54,37,0,22,0,0,43,93,68,0,42,0,58,0,40,0,0,0,0,40,44,0,0,22
12345678Z,COLNAME,ET,951,0,951,50,40,0,23,47,0,0,0,61,37,0,15,47,32,0,0,59,0,0,0,46,35,0,20,0,0,45,95,53,0,40,0,43,0,37,0,0,0,0,39,64,0,0,23
12345678Z,COLNAME,ET,823,2,825,40,26,0,18,40,0,0,0,50,21,0,17,40,20,0,0,40,0,0,0,72,25,0,16,0,0,40,88,55,0,37,0,40,0,34,0,0,0,0,33,53,0,0,18
12345678Z,COLNAME,ET,843,0,843,40,42,0,23,44,0,0,0,54,39,0,20,40,21,0,0,40,0,0,0,59,24,0,17,0,0,43,93,40,0,32,0,40,0,32,0,0,0,0,39,41,0,0,20
12345678Z,COLNAME,ET,1036,0,1036,69,42,0,23,48,0,0,0,71,41,0,21,46,39,0,0,54,0,0,0,47,25,0,19,0,0,43,95,67,0,43,0,60,0,43,0,0,0,0,40,76,0,0,24
12345678Z,COLNAME,ET,913,0,913,51,35,0,22,40,0,0,0,64,38,0,17,40,38,0,0,45,0,0,0,46,30,0,20,0,0,44,95,62,0,33,0,43,0,38,0,0,0,0,36,54,0,0,22
12345678Z,COLNAME,ET,977,0,977,46,45,0,24,50,0,0,0,59,41,0,24,41,39,0,0,47,0,0,0,48,46,0,22,0,0,46,97,55,0,38,0,47,0,39,0,0,0,0,42,60,0,0,21
12345678Z,COLNAME,ET,906,0,906,49,38,0,22,55,0,0,0,51,37,0,18,40,30,0,0,68,0,0,0,41,30,0,18,0,0,40,92,40,0,42,0,40,0,40,0,0,0,0,38,54,0,0,23
12345678Z,COLNAME,ET,970,0,970,49,35,0,22,56,0,0,0,58,41,0,23,46,38,0,0,65,0,0,0,47,35,0,22,0,0,46,96,51,0,40,0,45,0,38,0,0,0,0,40,56,0,0,21
12345678Z,COLNAME,ET,942,0,942,54,39,0,22,45,0,0,0,58,37,0,21,46,40,0,0,53,0,0,0,40,28,0,22,0,0,43,95,65,0,37,0,53,0,39,0,0,0,0,38,46,0,0,21
12345678Z,COLNAME,ET,970,0,970,48,39,0,22,50,0,0,0,63,39,0,16,44,38,0,0,73,0,0,0,49,37,0,20,0,0,43,94,53,0,39,0,51,0,40,0,0,0,0,40,51,0,0,21
12345678Z,COLNAME,ET,781,0,781,42,25,0,18,40,0,0,0,40,17,0,16,46,23,0,0,54,0,0,0,40,26,0,17,0,0,39,89,45,0,30,0,46,0,37,0,0,0,0,31,40,0,0,20
12345678Z,COLNAME,ET,756,0,756,41,30,0,19,40,0,0,0,40,29,0,19,27,21,0,0,48,0,0,0,40,27,0,16,0,0,40,90,41,0,32,0,31,0,33,0,0,0,0,33,40,0,0,19
12345678Z,COLNAME,ET,938,0,938,60,34,0,20,40,0,0,0,65,34,0,20,43,35,0,0,47,0,0,0,45,26,0,20,0,0,45,96,66,0,41,0,43,0,40,0,0,0,0,41,55,0,0,22
12345678Z,COLNAME,ET,968,0,968,61,34,0,20,40,0,0,0,52,40,0,23,45,30,0,0,72,0,0,0,70,30,0,20,0,0,45,95,48,0,37,0,54,0,39,0,0,0,0,41,50,0,0,22
12345678Z,COLNAME,ET,924,0,924,54,38,0,22,42,0,0,0,49,33,0,20,43,39,0,0,49,0,0,0,46,37,0,22,0,0,45,95,40,0,39,0,48,0,41,0,0,0,0,44,56,0,0,22
12345678Z,COLNAME,ET,1001,0,1001,55,35,0,21,60,0,0,0,62,38,0,18,52,31,0,0,61,0,0,0,59,26,0,21,0,0,45,95,59,0,39,0,57,0,40,0,0,0,0,32,75,0,0,20
12345678Z,COLNAME,ET,965,0,965,50,37,0,22,53,0,0,0,60,37,0,19,56,28,0,0,43,0,0,0,61,29,0,18,0,0,41,94,57,0,38,0,59,0,38,0,0,0,0,42,64,0,0,19
12345678Z,COLNAME,ET,919,0,919,40,37,0,22,55,0,0,0,56,35,0,16,44,39,0,0,56,0,0,0,47,36,0,21,0,0,43,95,42,0,37,0,49,0,39,0,0,0,0,40,48,0,0,22
12345678Z,COLNAME,ET,968,0,968,40,40,0,22,52,0,0,0,57,40,0,23,62,29,0,0,73,0,0,0,55,32,0,20,0,0,47,96,44,0,36,0,53,0,37,0,0,0,0,42,47,0,0,21
12345678Z,COLNAME,ET,1046,0,1046,63,45,0,23,67,0,0,0,69,33,0,20,61,35,0,0,57,0,0,0,52,28,0,19,0,0,44,95,65,0,39,0,64,0,39,0,0,0,0,37,69,0,0,22
12345678Z,COLNAME,ET,1070,0,1070,67,39,0,22,54,0,0,0,69,39,0,22,53,34,0,0,77,0,0,0,58,35,0,19,0,0,46,96,68,0,38,0,70,0,38,0,0,0,0,40,65,0,0,21
12345678Z,COLNAME,ET,1003,0,1003,45,39,0,22,59,0,0,0,55,40,0,22,52,34,0,0,73,0,0,0,46,30,0,21,0,0,42,92,64,0,43,0,59,0,39,0,0,0,0,43,61,0,0,22
12345678Z,COLNAME,ET,937,0,937,49,37,0,22,55,0,0,0,56,37,0,21,48,35,0,0,49,0,0,0,40,36,0,20,0,0,46,95,48,0,34,0,56,0,41,0,0,0,0,38,53,0,0,21
12345678Z,COLNAME,ET,907,0,907,44,35,0,21,48,0,0,0,56,41,0,23,47,22,0,0,70,0,0,0,44,36,0,18,0,0,40,95,42,0,35,0,50,0,38,0,0,0,0,34,48,0,0,20
12345678Z,COLNAME,ET,866,0,866,62,37,0,20,42,0,0,0,51,38,0,21,40,25,0,0,40,0,0,0,45,30,0,21,0,0,43,90,40,0,35,0,46,0,32,0,0,0,0,37,52,0,0,19
12345678Z,COLNAME,ET,812,0,812,40,30,0,20,40,0,0,0,47,25,0,15,40,37,0,0,51,0,0,0,40,25,0,20,0,0,41,91,41,0,33,0,40,0,35,0,0,0,0,38,42,0,0,21
12345678Z,COLNAME,ET,624,0,624,14,30,0,19,18,0,0,0,9,32,0,19,10,22,0,0,42,0,0,0,8,32,0,20,0,0,40,92,24,0,30,0,40,0,25,0,0,0,0,37,40,0,0,21
12345678Z,COLNAME,ET,785,0,785,30,37,0,20,44,0,0,0,40,23,0,18,31,25,0,0,40,0,0,0,40,40,0,23,0,0,45,94,40,0,34,0,27,0,33,0,0,0,0,39,40,0,0,22
12345678Z,COLNAME,ET,585,0,585,40,32,0,21,nan,0,0,0,nan,22,0,18,40,21,0,0,52,0,0,0,nan,24,0,17,0,0,32,70,48,0,32,0,nan,0,21,0,0,0,0,28,46,0,0,21
12345678Z,COLNAME,ET,785,0,785,47,39,0,20,42,0,0,0,59,43,0,24,40,28,0,0,nan,0,0,0,40,30,0,18,0,0,45,94,40,0,28,0,nan,0,32,0,0,0,0,40,54,0,0,22
12345678Z,COLNAME,ET,877,0,877,48,35,0,21,50,0,0,0,54,39,0,22,40,23,0,0,64,0,0,0,56,30,0,19,0,0,38,88,42,0,31,0,42,0,33,0,0,0,0,37,46,0,0,19
