PRN,College,Branch,TotalNoGrace,TotalGrace,SumTotal,CM_PP,CM_PR,CM_OR,CM_TW,TMICE|ACT_PP,TMICE|ACT_PR,TMICE|ACT_OR,TMICE|ACT_TW,EEI_PP,EEI_PR,EEI_OR,EEI_TW,QST_PP,QST_PR,QST_OR,QST_TW,SAICE|AATP_PP,SAICE|AATP_PR,SAICE|AATP_OR,SAICE|AATP_TW,TEI_PP,TEI_PR,TEI_OR,TEI_TW,PW_PP,PW_PR,PW_OR,PW_TW,ATE|G_PP,ATE|G_PR,ATE|G_OR,ATE|G_TW,SDI_PP,SDI_PR,SDI_OR,SDI_TW,DAHS_PP,DAHS_PR,DAHS_OR,DAHS_TW
12345678Z,COLNAME,CIVI,978,0,978,61,0,0,22,63,0,0,0,67,0,38,20,59,0,28,25,71,0,0,17,55,0,36,17,0,0,40,89,68,0,0,0,46,0,30,16,60,0,30,20
12345678Z,COLNAME,CIVI,1098,0,1098,80,0,0,22,72,0,0,0,70,0,42,23,74,0,42,44,45,0,0,18,66,0,40,20,0,0,46,89,65,0,0,0,48,0,39,20,71,0,42,20
12345678Z,COLNAME,CIVI,1032,0,1032,72,0,0,21,62,0,0,0,59,0,28,20,70,0,40,41,53,0,0,17,63,0,36,20,0,0,40,90,70,0,0,0,51,0,35,19,68,0,38,19
12345678Z,COLNAME,CIVI,969,0,969,67,0,0,23,51,0,0,0,51,0,38,23,58,0,42,39,51,0,0,23,53,0,40,22,0,0,40,92,50,0,0,0,42,0,38,21,49,0,35,21
12345678Z,COLNAME,CIVI,974,0,974,79,0,0,16,66,0,0,0,48,0,26,18,65,0,39,32,55,0,0,17,59,0,38,19,0,0,43,94,60,0,0,0,51,0,27,14,63,0,27,18
12345678Z,COLNAME,CIVI,1044,0,1044,62,0,0,23,54,0,0,0,62,0,38,22,72,0,41,38,70,0,0,21,67,0,38,18,0,0,44,87,55,0,0,0,49,0,42,23,65,0,32,21
12345678Z,COLNAME,CIVI,974,0,974,78,0,0,19,70,0,0,0,48,0,28,21,68,0,32,25,55,0,0,17,59,0,34,18,0,0,42,92,69,0,0,0,41,0,37,17,59,0,25,20
12345678Z,COLNAME,CIVI,922,0,922,66,0,0,21,55,0,0,0,50,0,35,20,56,0,35,29,40,0,0,21,50,0,36,19,0,0,40,92,50,0,0,0,42,0,37,18,54,0,35,21
12345678Z,COLNAME,CIVI,943,0,943,80,0,0,18,65,0,0,0,45,0,30,19,68,0,38,30,54,0,0,17,63,0,32,16,0,0,44,85,75,0,0,0,48,0,22,12,40,0,25,17
12345678Z,COLNAME,CIVI,992,0,992,77,0,0,19,67,0,0,0,46,0,34,20,73,0,40,39,63,0,0,16,71,0,36,18,0,0,35,95,67,0,0,0,44,0,24,15,48,0,25,20
12345678Z,COLNAME,CIVI,1112,0,1112,79,0,0,21,73,0,0,0,52,0,43,23,75,0,41,40,69,0,0,21,64,0,38,21,0,0,44,94,63,0,0,0,60,0,34,20,80,0,35,22
12345678Z,COLNAME,CIVI,940,0,940,74,0,0,21,55,0,0,0,49,0,36,22,58,0,39,36,40,0,0,20,53,0,36,18,0,0,45,90,50,0,0,0,48,0,26,14,61,0,30,19
12345678Z,COLNAME,CIVI,942,0,942,57,0,0,21,51,0,0,0,40,0,37,22,61,0,37,36,67,0,0,17,51,0,38,19,0,0,45,90,57,0,0,0,42,0,33,19,54,0,28,20
12345678Z,COLNAME,CIVI,1058,0,1058,76,0,0,23,68,0,0,0,56,0,40,23,63,0,41,39,48,0,0,19,64,0,38,21,0,0,45,90,79,0,0,0,51,0,32,17,69,0,35,21
12345678Z,COLNAME,CIVI,948,0,948,68,0,0,21,54,0,0,0,41,0,36,21,67,0,38,40,40,0,0,20,61,0,40,19,0,0,40,78,53,0,0,0,41,0,36,20,60,0,34,20
