PRN,College,Branch,TotalNoGrace,TotalGrace,SumTotal,DOM_PP,DOM_PR,DOM_OR,DOM_TW,FEM|R_PP,FEM|R_PR,FEM|R_OR,FEM|R_TW,MSD_PP,MSD_PR,MSD_OR,MSD_TW,IFP_PP,IFP_PR,IFP_OR,IFP_TW,CA_PP,CA_PR,CA_OR,CA_TW,EAAM_PP,EAAM_PR,EAAM_OR,EAAM_TW,MIS|RE_PP,MIS|RE_PR,MIS|RE_OR,MIS|RE_TW,PPE_PP,PPE_PR,PPE_OR,PPE_TW,AE_PP,AE_PR,AE_OR,AE_TW,PW_PP,PW_PR,PW_OR,PW_TW
12345678Z,COLNAME,MECH,1023,0,1023,54,0,36,20,75,0,0,42,54,0,38,19,61,0,39,22,40,38,0,21,67,0,0,19,67,0,0,0,67,0,38,20,55,0,0,0,0,0,40,91
12345678Z,COLNAME,MECH,919,0,919,48,0,35,18,56,0,0,42,40,0,39,20,51,0,37,21,47,27,0,15,55,0,0,18,58,0,0,0,54,0,38,20,49,0,0,0,0,0,41,90
12345678Z,COLNAME,MECH,1109,0,1109,60,0,42,22,71,0,0,45,62,0,35,18,64,0,42,23,64,36,0,20,71,0,0,21,78,0,0,0,74,0,36,20,74,0,0,0,0,0,43,88
12345678Z,COLNAME,MECH,799,0,799,40,0,30,18,48,0,0,42,40,0,25,13,46,0,33,19,40,22,0,14,47,0,0,19,47,0,0,0,45,0,32,18,40,0,0,0,0,0,36,85
12345678Z,COLNAME,MECH,928,0,928,60,0,38,21,59,0,0,40,40,0,36,18,52,0,37,21,52,24,0,14,42,0,0,19,59,0,0,0,51,0,40,21,61,0,0,0,0,0,41,82
12345678Z,COLNAME,MECH,1175,0,1175,58,0,42,22,78,0,0,45,74,0,40,20,80,0,43,23,73,38,0,21,68,0,0,21,86,0,0,0,73,0,43,23,76,0,0,0,0,0,39,89
12345678Z,COLNAME,MECH,950,0,950,40,0,38,20,55,0,0,42,47,0,35,18,48,0,35,20,50,36,0,20,63,0,0,20,61,0,0,0,51,0,36,19,63,0,0,0,0,0,41,92
12345678Z,COLNAME,MECH,704,0,704,31,0,36,20,43,0,0,38,18,0,24,12,21,0,31,19,27,23,0,15,49,0,0,19,30,0,0,0,30,0,35,18,43,0,0,0,0,0,30,92
12345678Z,COLNAME,MECH,934,0,934,40,0,39,22,62,0,0,38,43,0,38,19,48,0,34,19,42,27,0,16,64,0,0,19,54,0,0,0,65,0,36,18,54,0,0,0,0,0,44,93
12345678Z,COLNAME,MECH,966,0,966,65,0,37,21,51,0,0,40,48,0,37,19,48,0,32,18,46,25,0,15,68,0,0,19,58,0,0,0,65,0,34,19,68,0,0,0,0,0,42,91
12345678Z,COLNAME,MECH,1040,0,1040,44,0,39,22,75,0,0,42,56,0,40,20,53,0,38,21,62,32,0,18,68,0,0,18,81,0,0,0,57,0,35,20,71,0,0,0,0,0,39,89
12345678Z,COLNAME,MECH,978,0,978,59,0,38,21,67,0,0,42,41,0,34,17,48,0,36,20,40,33,0,19,65,0,0,19,69,0,0,0,60,0,42,21,57,0,0,0,0,0,40,90
12345678Z,COLNAME,MECH,579,0,579,nan,0,36,18,49,0,0,40,nan,0,21,11,nan,0,33,19,nan,21,0,15,55,0,0,18,nan,0,0,0,54,0,40,21,nan,0,0,0,0,0,41,87
12345678Z,COLNAME,MECH,1039,0,1039,40,0,37,22,74,0,0,35,43,0,39,20,60,0,34,19,67,38,0,21,68,0,0,21,75,0,0,0,68,0,44,23,61,0,0,0,0,0,40,90
12345678Z,COLNAME,MECH,794,0,794,nan,0,35,19,51,0,0,40,40,0,37,18,48,0,38,21,45,21,0,14,53,0,0,19,40,0,0,0,24,0,36,20,50,0,0,0,0,0,35,90
12345678Z,COLNAME,MECH,889,0,889,40,0,33,22,40,0,0,42,44,0,38,20,45,0,30,20,47,37,0,23,50,0,0,22,60,0,0,0,53,0,39,20,48,0,0,0,0,0,36,80
12345678Z,COLNAME,MECH,467,0,467,23,0,nan,nan,40,0,0,41,26,0,30,22,nan,0,nan,nan,nan,28,0,12,nan,0,0,nan,45,0,0,0,nan,0,22,19,44,0,0,0,0,0,30,85
12345678Z,COLNAME,MECH,834,0,834,nan,0,36,19,42,0,0,40,40,0,38,19,45,0,33,18,40,22,0,21,50,0,0,20,61,0,0,0,51,0,37,19,54,0,0,0,0,0,39,90
12345678Z,COLNAME,MECH,874,0,874,31,0,28,19,56,0,0,41,40,0,35,17,50,0,39,20,40,34,0,20,52,0,0,19,60,0,0,0,41,0,39,19,47,0,0,0,0,0,40,87
12345678Z,COLNAME,MECH,887,0,887,44,0,38,19,44,0,0,37,44,0,30,16,50,0,36,18,48,31,0,20,63,0,0,19,40,0,0,0,49,0,40,20,54,0,0,0,0,0,38,89
12345678Z,COLNAME,MECH,896,4,900,40,0,35,18,49,0,0,37,40,0,40,20,53,0,36,18,41,33,0,17,51,0,0,18,56,0,0,0,53,0,38,19,51,0,0,0,0,0,44,89
12345678Z,COLNAME,MECH,864,0,864,30,0,36,19,42,0,0,40,40,0,38,19,45,0,33,18,40,22,0,21,50,0,0,20,61,0,0,0,51,0,37,19,54,0,0,0,0,0,39,90
12345678Z,COLNAME,MECH,852,0,852,31,0,35,18,40,0,0,36,50,0,38,19,48,0,33,17,40,33,0,21,55,0,0,20,40,0,0,0,40,0,37,18,51,0,0,0,0,0,42,90
